index,barcode,row,col,imagerow,imagecol,is_center
717,11x36,11,36,560,1923,0
718,40x39,40,39,2144,2086,1
719,7x46,7,46,341,2468,0
720,9x44,9,44,451,2359,0
721,45x42,45,42,2417,2250,0
722,36x31,36,31,1926,1650,1
723,27x35,27,35,1434,1868,0
724,45x33,45,33,2417,1759,0
725,22x42,22,42,1161,2250,0
726,32x19,32,19,1707,995,1
727,31x40,31,40,1652,2141,0
728,31x28,31,28,1652,1486,0
729,29x24,29,24,1543,1268,0
730,26x25,26,25,1379,1323,1
731,46x4,46,4,2472,177,0
732,42x5,42,5,2253,232,1
733,32x44,32,44,1707,2359,0
734,10x37,10,37,505,1977,0
735,41x28,41,28,2199,1486,0
736,4x39,4,39,178,2086,1
737,20x17,20,17,1052,886,1
738,31x7,31,7,1652,341,0
739,30x21,30,21,1598,1105,1
740,20x24,20,24,1052,1268,0
741,32x8,32,8,1707,395,0
742,13x18,13,18,669,941,0
743,38x43,38,43,2035,2305,0
744,33x47,33,47,1762,2523,0
745,24x28,24,28,1270,1486,0
746,26x8,26,8,1379,395,0
747,37x2,37,2,1980,68,0
748,29x13,29,13,1543,668,0
749,15x48,15,48,778,2577,0
750,35x24,35,24,1871,1268,0
751,41x37,41,37,2199,1977,0
752,44x15,44,15,2363,777,1
753,34x25,34,25,1816,1323,1
754,41x11,41,11,2199,559,0
755,27x44,27,44,1434,2359,0
756,33x16,33,16,1762,832,0
757,9x15,9,15,451,777,0
758,20x44,20,44,1052,2359,0
759,31x36,31,36,1652,1923,0
760,37x25,37,25,1980,1323,0
761,41x33,41,33,2199,1759,0
762,28x22,28,22,1489,1159,0
763,39x10,39,10,2089,505,0
764,39x43,39,43,2089,2305,0
765,43x29,43,29,2308,1541,0
766,17x33,17,33,888,1759,0
767,11x31,11,31,560,1650,0
768,18x13,18,13,942,668,1
769,32x21,32,21,1707,1105,0
770,9x16,9,16,451,832,0
771,33x14,33,14,1762,723,0
772,4x33,4,33,178,1759,1
773,8x46,8,46,396,2468,0
774,41x20,41,20,2199,1050,0
775,17x18,17,18,888,941,0
776,44x19,44,19,2363,995,1
777,46x7,46,7,2472,341,1
778,28x30,28,30,1489,1595,0
779,23x19,23,19,1215,995,0
780,31x26,31,26,1652,1377,0
781,27x17,27,17,1434,886,0
782,19x30,19,30,997,1595,0
783,39x29,39,29,2089,1541,0
784,8x36,8,36,396,1923,0
785,12x19,12,19,615,995,0
786,35x11,35,11,1871,559,0
787,6x30,6,30,287,1595,0
788,34x42,34,42,1816,2250,0
789,42x13,42,13,2253,668,1
790,34x28,34,28,1816,1486,0
791,25x33,25,33,1325,1759,0
792,45x21,45,21,2417,1105,0
793,4x30,4,30,178,1595,0
794,15x46,15,46,778,2468,0
795,4x32,4,32,178,1705,0
796,45x23,45,23,2417,1214,0
