"","TMEM132D","CPNE5","RNA18S5","NMNAT1","ALG5","RNA28S5","RPL13","CCBL1","RPS9","MEIS1.AS1"
"36x33",0,0,236,1,0,41,16,0,1,0
"11x42",0,0,0,0,0,0,0,0,0,0
"13x17",0,0,1,0,0,0,0,0,0,0
"12x38",0,0,3,0,0,2,0,0,0,0
"27x33",0,0,290,0,0,49,8,0,5,0
"29x37",0,0,83,0,0,9,1,0,1,0
"21x17",0,0,1,0,0,0,0,0,0,0
"17x49",1,0,7,1,0,0,0,0,2,0
"38x17",0,0,2,0,0,1,0,0,0,0
"38x20",0,0,13,0,0,5,1,0,0,0
"31x16",0,1,7,0,0,0,0,0,0,0
"24x25",0,0,7,0,0,4,0,0,0,0
"31x4",0,0,2,0,0,0,0,0,0,0
"22x38",0,0,42,0,0,4,2,0,1,0
"29x48",0,2,1,0,1,1,0,0,0,0
"2x24",1,0,3,0,0,0,1,0,0,0
"36x25",0,0,17,0,0,7,0,0,1,0
"14x28",1,0,11,0,0,2,0,0,1,0
"30x46",0,0,2,0,0,0,0,0,0,0
"25x43",0,2,150,11,0,16,0,0,3,0
"14x15",0,1,3,0,1,2,1,0,0,0
"33x8",0,0,6,1,0,2,2,0,0,0
"29x28",0,0,40,0,0,5,0,0,1,0
"9x49",0,0,16,0,0,7,2,0,2,0
"23x25",0,1,5,0,0,1,1,0,0,0
"39x35",0,0,10,0,0,6,1,0,0,0
"11x43",0,0,13,0,0,5,2,0,0,0
"25x35",0,0,89,4,0,6,15,0,3,0
"26x43",0,0,150,2,0,8,3,0,1,0
"26x39",1,0,48,0,0,9,1,0,1,0
"17x27",0,0,10,0,0,0,2,0,0,0
"41x29",0,0,6,0,0,1,1,0,0,0
"37x5",1,0,10,0,1,1,0,0,0,0
"47x3",2,0,17,0,0,3,0,0,0,0
"24x12",1,0,4,0,0,3,3,0,0,0
"22x15",0,0,12,2,0,0,1,0,0,0
"42x18",0,1,1,0,0,4,0,0,0,1
"30x13",0,0,9,0,0,0,0,0,0,0
"3x32",0,0,13,1,0,1,0,0,0,0
"22x34",0,0,56,2,0,5,0,0,0,0
"26x26",0,0,2,0,0,4,1,0,0,0
"37x22",0,0,8,0,0,0,1,0,0,0
"46x40",0,0,4,3,0,3,0,0,0,1
"26x44",0,0,14,0,0,0,0,0,1,0
"15x39",0,0,9,0,0,0,0,0,0,0
"22x22",0,0,0,0,0,1,0,0,0,0
"31x21",0,0,12,0,0,0,0,0,0,0
"27x27",0,0,9,0,0,1,0,0,0,0
"49x35",0,0,15,2,0,1,0,0,0,0
"5x42",0,0,44,0,0,6,0,0,0,0
"34x14",1,1,5,0,0,1,0,0,0,0
"24x16",0,0,5,0,0,0,0,0,0,0
"43x25",0,0,3,1,0,0,0,0,0,0
"23x39",0,0,19,0,0,7,5,0,2,0
"25x31",0,1,236,2,0,20,27,0,39,0
"40x16",0,0,4,0,0,0,0,0,0,0
"34x43",0,0,5,1,0,0,0,0,1,0
"31x13",0,0,7,0,0,2,4,0,1,0
"29x41",0,4,366,0,0,16,18,0,2,0
"36x23",0,1,14,0,0,7,0,0,0,0
"14x17",1,0,2,0,0,0,0,0,0,0
"34x11",0,2,0,0,0,0,2,0,0,0
"43x43",0,1,6,1,0,5,0,0,0,0
"3x28",0,0,24,0,0,0,0,0,0,0
"43x41",0,0,7,0,0,0,0,0,0,0
"19x48",0,0,1,0,0,2,2,0,0,0
"45x20",0,0,6,1,0,0,0,0,0,0
"31x8",1,0,6,0,0,0,0,0,0,0
"27x23",0,1,12,0,0,1,0,0,1,0
"18x42",0,0,7,1,0,3,0,0,0,0
"43x17",0,0,2,0,0,0,0,0,0,0
"12x20",0,0,5,0,1,1,0,0,0,0
"20x43",0,0,3,0,0,2,0,0,0,0
"41x5",0,0,24,0,0,1,0,0,0,0
"3x38",0,0,26,0,0,4,0,0,0,0
"36x17",0,0,1,0,0,1,0,0,0,0
"47x47",0,0,2,1,1,0,0,0,0,0
"35x7",0,0,0,1,0,0,0,0,0,0
"33x21",0,0,5,0,0,4,0,0,0,0
"48x35",0,0,6,0,0,1,1,0,0,0
"34x44",0,0,0,0,0,0,0,0,0,0
"35x18",0,0,5,0,0,1,0,0,0,0
"21x29",0,0,316,0,1,30,28,0,4,0
"14x45",0,0,4,0,0,0,0,0,0,0
"8x29",0,0,3,0,0,0,0,0,0,0
"31x47",0,0,4,1,0,0,2,0,0,0
"38x32",0,0,17,0,0,3,0,0,1,0
"9x48",0,0,42,0,0,6,5,0,3,0
"31x11",0,0,8,0,0,2,0,0,0,0
"15x18",0,0,0,0,1,0,0,0,0,0
"42x21",0,0,1,0,0,0,0,0,0,0
"43x21",0,1,4,0,0,0,0,0,0,0
"17x31",0,0,42,0,0,0,1,0,0,0
"28x18",0,0,5,0,0,0,4,0,0,0
"4x19",1,0,7,0,0,0,0,0,0,0
"33x24",0,0,4,0,0,1,0,0,1,0
"40x21",0,0,7,0,0,3,0,0,0,0
"42x31",0,0,11,0,0,0,1,0,0,0
"24x31",0,0,369,1,0,35,9,0,4,0
"40x14",1,0,3,0,0,0,0,0,0,0
"29x49",1,0,11,0,0,2,0,0,1,0
"31x23",0,0,1,0,0,0,0,0,0,0
"37x43",0,0,3,0,0,0,0,0,0,0
"33x10",0,0,4,0,1,1,1,0,0,0
"42x25",0,0,0,0,0,0,0,0,0,0
"26x41",1,0,249,0,0,15,6,0,5,0
"31x22",0,0,4,0,0,0,0,0,0,0
"26x32",0,0,140,0,0,8,6,0,7,0
"32x40",0,1,109,2,0,17,6,0,2,0
"39x41",0,1,11,0,0,1,0,0,0,0
"40x15",0,0,3,0,0,1,1,0,0,0
"5x17",7,0,3,0,0,3,0,0,0,0
"21x16",0,0,4,0,0,2,1,0,0,0
"39x36",0,0,116,0,0,25,19,0,1,0
"18x44",0,0,13,0,0,1,0,0,0,0
"8x21",0,0,0,0,0,0,1,0,0,0
"40x12",0,0,7,0,0,2,0,0,0,0
